期次,开奖号码,,,,
180731001,3,8,8,5,7
180731002,0,4,9,3,6
180731003,8,4,5,0,0
180731004,6,5,1,1,3
180731005,1,4,2,1,3
180731006,8,3,7,5,6
180731007,7,0,2,3,3
180731008,0,8,9,9,7
180731009,4,3,6,1,8
180731010,5,2,2,5,2
180731011,2,5,2,0,7
180731012,9,7,0,4,3
180731013,7,6,5,4,7
180731014,6,9,4,3,7
180731015,5,0,1,4,3
180731016,5,1,7,4,4
180731017,2,9,4,9,6
180731018,4,1,1,1,1
180731019,0,3,7,8,2
180731020,2,1,0,3,0
180731021,5,2,7,6,6
180731022,5,4,9,6,2
180731023,9,6,8,7,8
180731024,2,2,8,7,6
180731025,5,5,3,3,2
180731026,1,3,9,9,4
180731027,2,9,3,8,8
180731028,9,8,9,2,7
180731029,7,5,5,8,1
180731030,3,7,7,2,3
180731031,7,4,7,7,7
180731032,0,9,2,2,4
180731033,4,7,2,0,7
180731034,7,5,7,6,1
180731035,1,3,3,7,0
180731036,6,2,1,6,7
180731037,0,0,8,0,5
180731038,8,9,5,0,3
180731039,2,7,7,4,7
180731040,5,4,1,6,8
180731041,8,0,2,3,1
180731042,8,8,1,4,6
180731043,7,0,3,3,3
180731044,0,5,1,1,0
180731045,8,2,3,1,7
180731046,1,4,1,6,2
180731047,8,6,4,9,3
180731048,7,3,0,1,4
180731049,6,7,4,4,3
180731050,8,7,4,2,9
180731051,5,7,2,8,3
180731052,3,8,2,3,5
180731053,3,3,6,7,9
180731054,4,8,8,5,1
180731055,7,2,9,5,1
180731056,6,8,6,0,0
180731057,4,1,5,7,9
180731058,8,3,0,8,6
180731059,3,6,8,1,8
180731060,9,5,3,4,9
180731061,1,0,5,2,5
180731062,3,8,6,6,9
180731063,0,5,3,9,5
180731064,2,5,1,0,0
180731065,2,9,3,2,6
180731066,6,0,0,1,9
180731067,2,5,3,4,0
180731068,8,1,7,5,4
180731069,0,9,2,5,2
180731070,5,9,8,7,8
180731071,6,0,9,0,1
180731072,9,0,8,0,4
180731073,4,8,5,9,8
180731074,5,0,3,4,0
180731075,3,5,3,1,9
180731076,1,1,9,2,8
180731077,8,7,3,9,8
180731078,0,8,4,2,7
180731079,4,1,8,7,1
180731080,3,3,4,4,4
180731081,2,5,3,4,1
180731082,4,4,1,5,9
180731083,0,6,7,9,5
180731084,4,6,6,1,3
180731085,1,7,9,2,1
180731086,9,3,2,1,2
180731087,7,7,4,2,5
180731088,9,7,8,6,2
180731089,6,4,2,5,3
180731090,8,0,8,8,8
180731091,3,8,2,5,9
180731092,9,4,8,1,6
180731093,5,6,8,3,8
180731094,4,5,2,4,7
180731095,2,1,4,1,6
180731096,5,9,5,4,9
180731097,6,6,5,6,2
180731098,8,8,0,3,5
180731099,9,9,2,6,0
180731100,7,6,8,4,8
180731101,6,0,8,3,9
180731102,8,7,9,3,8
180731103,4,3,4,4,3
180731104,7,7,4,7,5
180731105,0,7,1,1,8
180731106,3,9,3,0,6
180731107,8,2,6,9,4
180731108,8,6,2,0,0
180731109,8,5,7,3,4
180731110,5,7,2,2,2
180731111,3,7,3,3,9
180731112,6,4,2,7,9
180731113,6,5,3,3,1
180731114,1,5,5,3,3
180731115,1,0,3,6,1
180731116,0,3,8,3,0
180731117,9,5,4,2,7
180731118,2,4,7,3,2
180731119,9,8,5,4,5
180731120,6,3,8,4,6
180801001,4,3,5,0,0
180801002,0,0,8,3,3
180801003,8,4,8,5,8
180801004,1,4,5,1,2
180801005,8,8,9,7,6
180801006,0,3,2,2,8
180801007,9,1,7,8,5
180801008,2,9,8,3,2
180801009,8,7,2,1,5
180801010,2,1,0,4,6
180801011,6,8,3,9,5
180801012,0,2,2,1,4
180801013,0,9,8,4,7
180801014,9,4,6,2,1
180801015,3,0,4,4,6
180801016,7,2,4,0,7
180801017,2,1,8,4,6
180801018,8,2,2,6,1
180801019,6,1,3,2,3
180801020,5,1,7,5,4
180801021,6,2,8,7,6
180801022,4,8,7,1,3
180801023,6,4,2,5,0
180801024,9,9,9,9,2
180801025,5,6,4,9,4
180801026,5,6,3,0,9
